key,title,year,authors,RAYYAN-LABELS,status,population,exposure,control,outcome,Search,study location,system,remarks
rayyan-939284065,Behavioral responses of brown bears mediate nutritional effects of experimentally introduced tourism,2006,"Rode, KD and Farley, SD and Robbins, CT",data,Included,brown bears,human presence,human absence,"foraging efficiency, vigilance behaviour, use of food resources",,,,
rayyan-939273857,Bear-Baiting May Exacerbate Wolf-Hunting Dog Conflict,2013,"Bump, JK and Murawski, CM and Kartano, LM and Beyer Jr, DE and Roell, BJ",data,Included,wolves,bear hunting,-,depredation of hunting dogs,,,,
rayyan-939274347,Behavioral “bycatch” from camera trap surveys yields insights on prey responses to human-mediated predation risk,2022,"Burton, AC and Beirne, C and Sun, C and Granados, A and Procko, M and Chen, C and Fennell, M and Constantinou, A and Colton, C and Tjaden-McClement, K and Fisher, JT and Burgar, J",data,Included,"caribou, white-tailed deer, moose",human-mediated predation risk,wolf activity,"behavioural response, rest/forage/investigate",,,,
rayyan-811287139,Behavioral effects of wolf presence on moose habitat selection: testing the landscape of fear hypothesis in an anthropogenic landscape,2021,"Sand, H and Jamieson, M and Andren, H and Wikenros, C and Cromsigt, J and Mansson, J",data,Included,moose,wolf and moose management,wolf activity,habitat selection,,,,
rayyan-811288302,Behavioural drivers of the ecological roles and importance of marine mammals,2015,"Kiszka, JJ and Heithaus, MR and Wirsing, AJ",review,Included,,,,,,,,
rayyan-811287890,Challenges of using behavior to monitor anthropogenic impacts on wildlife: a case study on illegal killing of African elephants,2017,"Goldenberg, SZ and Douglas-Hamilton, I and Daballen, D and Wittemyer, G",data,Included,African elephant,approaching vehicle,-,behavioural response,,,,
rayyan-811287250,COVID-19 suppression of human mobility releases mountain lions from a landscape of fear,2021,"Wilmers, CC and Nisi, AC and Ranc, N",review,maybe,,,,,,,,
rayyan-939274288,"Cumulative effects of human footprint, natural features and predation risk best predict seasonal resource selection by white-tailed deer",2022,"Darlington, S and Ladle, A and Burton, AC and Volpe, JP and Fisher, JT",concept,Included,white-tailed deer,industrial and linear features,predation risk,habitat selection,,,,
rayyan-939276733,Does hunting affect the behavior of wild pigs?,2021,"Keuling, O and Massei, G",review,maybe,,,,,,,,
rayyan-939281739,European birds adjust their flight initiation distance to road speed limits,2013,"Legagneux, P and Ducatez, S",data,maybe,common European birds,approaching vehicle,-,FID,,,,
rayyan-939281693,Flight initiation distance and refuge in urban birds,2022,"Morelli, F and Mikula, P and Blumstein, DT and Diaz, M and Marko, G and Jokimaki, J and Kaisanlahti-Jokimaeki, ML and Floigl, K and Abou Zeid, F and Siretckaia, A and Benedetti, Y",concept,Included,birds,approach by human,-,FID,,,,
rayyan-939274957,Human-Lemur Coexistence in a Multiple-Use Landscape,2022,"Chen-Kraus, C and Raharinoro, NA and Randrianirinarisoa, MA and Anderson, DJ and Lawler, RR and Watts, DP and Richard, AF",data,Included,Verreaux’s sifakas ,human distrubance,-,"vigilance, feeding time, response",,southwest Madagascar,,
rayyan-939276714,Interacting lethal and nonlethal human activities shape complex risk tolerance behaviors in a mountain herbivore,2022," Courbin, N and Garel, M and Marchand, P and Duparc, A and Debeffe, L and Borger, L and Loison, A","concept, data",Included,chamois,lethal disturbance,nonlethal disturbance,space use,,,,
rayyan-939280160,Road noise causes earlier predator detection and flight response in a free-ranging mammal,2016,"Shannon, G and Crooks, KR and Wittemyer, G and Fristrup, KM and Angeloni, LM",data,Included,black-tailed prarie dog,approaching human,-,vigilance and flight decisions during foraging,,,,
rayyan-939277695,Roe deer at risk: teasing apart habitat selection and landscape constraints in risk exposure at multiple scales,2015,"Padie, S and Morellet, N and Hewison, AJM and Martin, JL and Bonnot, N and Cargnelutti, B and Chamaille-Jammes, S",data,Included,roe deer,hunting pressure,-,habitat selection,,,,
rayyan-811287262,Stick or twist: roe deer adjust their flight behaviour to the perceived trade-off between risk and reward,2017,"Bonnot, NC and Hewison, AJM and Morellet, N and Gaillard, JM and Debeffe, L and Couriot, O and Cargnelutti, B and Chaval, Y and Lourtet, B and Kjellander, P and Vanpe, C",data,Included,roe deer,approaching human,-,"Flight response, alert distance, FID",,,,
rayyan-939283642,The impact of recreational boat traffic on Marbled Murrelets (Brachyramphus mamoratus),2009,"Bellefleur, D and Lee, P and Ronconi, RA",data,Included,marbled murrelets,approaching boat,-,disturbance reaction,,"Pacific Rim National Park Reserve, British Columbia, Canada",,
